"nrounds","eta","max_depth","colsample_bytree","min_child_weight","rmse_xgb_train","rmse_xgb_test"
1500,0.008,5,0.9,5,0.0533601263888158,0.130814974442519
800,0.01,5,0.9,5,0.0686531807409784,0.132974739481747
1000,0.01,5,0.9,5,0.0591223368742085,0.130801906298484
1200,0.01,5,0.9,5,0.0522131277822942,0.130795180206026
1500,0.01,5,0.9,5,0.0439141914817324,0.129529621218978
800,0.001,6,0.9,5,5.42099466148381,5.40061770437697
1000,0.001,6,0.9,5,4.44247168924894,4.42361347053599
1200,0.001,6,0.9,5,3.6414011526403,3.62326496812774
1500,0.001,6,0.9,5,2.70388763227038,2.68667836866905
800,0.005,6,0.9,5,0.250688468005654,0.260043080458983
1000,0.005,6,0.9,5,0.121641156964639,0.157618764952412
1200,0.005,6,0.9,5,0.0800573902451779,0.137924140780313
1500,0.005,6,0.9,5,0.062937478804559,0.133171129350123
800,0.008,6,0.9,5,0.0739833541148496,0.13533745660226
1000,0.008,6,0.9,5,0.0593351051085001,0.134333045650172
1200,0.008,6,0.9,5,0.0511301605890693,0.132008377017046
1500,0.008,6,0.9,5,0.0421493169942626,0.132152360882958
800,0.01,6,0.9,5,0.0594998885344912,0.132708893926084
1000,0.01,6,0.9,5,0.0488999645757018,0.132874210503509
1200,0.01,6,0.9,5,0.0424468936130148,0.130806405911723
1500,0.01,6,0.9,5,0.0322186575356101,0.130243587989376
800,0.001,8,0.9,5,5.42097600133297,5.40068946984371
1000,0.001,8,0.9,5,4.44245687103248,4.42362403805489
1200,0.001,8,0.9,5,3.64139768751245,3.62325480846244
1500,0.001,8,0.9,5,2.70389145671598,2.68671287735536
800,0.005,8,0.9,5,0.249669276831444,0.259945229112473
1000,0.005,8,0.9,5,0.11614866821046,0.156863808846031
1200,0.005,8,0.9,5,0.0702420588997627,0.13511481044687
1500,0.005,8,0.9,5,0.0503815416635419,0.131081350474545
800,0.008,8,0.9,5,0.0629963212911517,0.13454827789625
1000,0.008,8,0.9,5,0.0467873399514438,0.132680848499396
1200,0.008,8,0.9,5,0.0382822955832644,0.129819978666609
1500,0.008,8,0.9,5,0.0282359934004746,0.130659497900889
800,0.01,8,0.9,5,0.0471441215572398,0.131440775220998
1000,0.01,8,0.9,5,0.0355402485417003,0.132156309466563
1200,0.01,8,0.9,5,0.0289966782695072,0.131217725266912
1500,0.01,8,0.9,5,0.021049299684443,0.128461060944008
800,0.001,5,1,5,5.42097010742784,5.4007178921146
1000,0.001,5,1,5,4.4424294141309,4.42371798070688
1200,0.001,5,1,5,3.64136652154236,3.62331039961804
1500,0.001,5,1,5,2.70383803485766,2.6866907963182
800,0.005,5,1,5,0.25148609468887,0.259295813892334
1000,0.005,5,1,5,0.125474837621417,0.158063619713914
1200,0.005,5,1,5,0.0874094277322253,0.137400917188014
1500,0.005,5,1,5,0.0714463450709731,0.132455250694695
800,0.008,5,1,5,0.080960001074933,0.13622311227206
1000,0.008,5,1,5,0.0681551685146771,0.133245383423563
1200,0.008,5,1,5,0.0604565259570852,0.13251562222867
1500,0.008,5,1,5,0.0523557016640568,0.131329608040103
800,0.01,5,1,5,0.0683082765020012,0.13275467641089
1000,0.01,5,1,5,0.0595717671082991,0.131619159861994
1200,0.01,5,1,5,0.0528324903891554,0.131067407641998
1500,0.01,5,1,5,0.0445158045246592,0.130214025874518
800,0.001,6,1,5,5.42097010742784,5.4007178921146
1000,0.001,6,1,5,4.4424294141309,4.42371798070688
1200,0.001,6,1,5,3.64136652154236,3.62331039961804
1500,0.001,6,1,5,2.70383803485766,2.6866907963182
800,0.005,6,1,5,0.250304150017084,0.259751617677283
1000,0.005,6,1,5,0.120567123124678,0.157735002439199
1200,0.005,6,1,5,0.0792395048419549,0.13744242451898
1500,0.005,6,1,5,0.0613062857930244,0.132844590209233
800,0.008,6,1,5,0.073195618612169,0.13551996795319
1000,0.008,6,1,5,0.0588464579575472,0.132703892177734
1200,0.008,6,1,5,0.0512943101715288,0.13211173995892
1500,0.008,6,1,5,0.042326593394318,0.131688785541632
800,0.01,6,1,5,0.0579860282790569,0.13397562340187
1000,0.01,6,1,5,0.0481602427130444,0.133342279229683
1200,0.01,6,1,5,0.0408734271132663,0.132633317418334
1500,0.01,6,1,5,0.0325558257833067,0.131579296943991
800,0.001,8,1,5,5.42097010742784,5.4007178921146
1000,0.001,8,1,5,4.4424294141309,4.42371798070688
1200,0.001,8,1,5,3.64136652154236,3.62331039961804
1500,0.001,8,1,5,2.70383803485766,2.6866907963182
800,0.005,8,1,5,0.249393253717267,0.260368729368528
1000,0.005,8,1,5,0.115804362391002,0.156808936915432
1200,0.005,8,1,5,0.0703558413433093,0.136415591957928
1500,0.005,8,1,5,0.0494967635298288,0.132873598746299
800,0.008,8,1,5,0.0629551002275323,0.134906426405491
1000,0.008,8,1,5,0.0457393987842383,0.133313411305133
1200,0.008,8,1,5,0.0376069235127085,0.133021234988848
1500,0.008,8,1,5,0.0291051740588208,0.132650342660669
800,0.01,8,1,5,0.0452306736737428,0.13314962412187
1000,0.01,8,1,5,0.0352415218567203,0.132597991404389
1200,0.01,8,1,5,0.0275313632426114,0.132114941965085
1500,0.01,8,1,5,0.0189652380792467,0.131837868879925
800,0.001,5,0.5,10,5.42111924884976,5.40008501198326
1000,0.001,5,0.5,10,4.44266277319933,4.4230758943455
1200,0.001,5,0.5,10,3.64164495543078,3.62231502615019
1500,0.001,5,0.5,10,2.70416429073883,2.68611941894066
800,0.005,5,0.5,10,0.255856811671061,0.260792363164073
1000,0.005,5,0.5,10,0.133073172393978,0.157791116164666
1200,0.005,5,0.5,10,0.0972973354569285,0.13702998669239
1500,0.005,5,0.5,10,0.0809987496279813,0.130900738687679
800,0.008,5,0.5,10,0.0908048011054956,0.133633935727073
1000,0.008,5,0.5,10,0.0785408701994681,0.13085417620432
1200,0.008,5,0.5,10,0.0708935144619283,0.128867678454718
1500,0.008,5,0.5,10,0.0616123138448876,0.127820605840956
800,0.01,5,0.5,10,0.0781304846031567,0.129886611330339
1000,0.01,5,0.5,10,0.0684660726207069,0.129255179839857
1200,0.01,5,0.5,10,0.061357141362119,0.128570551215777
1500,0.01,5,0.5,10,0.0537525898471864,0.127040151241878
800,0.001,6,0.5,10,5.42116873511688,5.39992474672019
1000,0.001,6,0.5,10,4.44269423228144,4.42273626390647
1200,0.001,6,0.5,10,3.64165250797289,3.62233648077673
1500,0.001,6,0.5,10,2.70414742778999,2.68610652682747
800,0.005,6,0.5,10,0.255091504056744,0.260338687913868
1000,0.005,6,0.5,10,0.130389545232836,0.155828482459287
1200,0.005,6,0.5,10,0.0924999140563213,0.135555759447148
1500,0.005,6,0.5,10,0.0745053315780687,0.130234071894259
800,0.008,6,0.5,10,0.0852168420374194,0.132703414329943
1000,0.008,6,0.5,10,0.0707869951009259,0.129751690185684
1200,0.008,6,0.5,10,0.0620354080795126,0.128218912276326
1500,0.008,6,0.5,10,0.0526294105864135,0.127332065896842
800,0.01,6,0.5,10,0.0705263138897741,0.129256399074422
1000,0.01,6,0.5,10,0.0598998654183242,0.126193251781158
1200,0.01,6,0.5,10,0.0530234903150208,0.126734342334352
1500,0.01,6,0.5,10,0.0444087948168255,0.126408939462024
800,0.001,8,0.5,10,5.42115287792683,5.40015962825224
1000,0.001,8,0.5,10,4.44265751476829,4.42280850597004
1200,0.001,8,0.5,10,3.64161607689056,3.62241556058074
1500,0.001,8,0.5,10,2.70418268076997,2.68618597561077
800,0.005,8,0.5,10,0.254640850988386,0.260456305850112
1000,0.005,8,0.5,10,0.126750562009378,0.156243665433602
1200,0.005,8,0.5,10,0.0854158818814709,0.134287800703059
1500,0.005,8,0.5,10,0.0647475254061487,0.128669478817711
800,0.008,8,0.5,10,0.0774690680199118,0.13123870448543
1000,0.008,8,0.5,10,0.0610029606580427,0.128408515642294
1200,0.008,8,0.5,10,0.0512714542173259,0.127040783011422
1500,0.008,8,0.5,10,0.0433747676967027,0.126721686831829
800,0.01,8,0.5,10,0.0606963217630777,0.129529088270902
1000,0.01,8,0.5,10,0.0489784770697823,0.127949011731889
1200,0.01,8,0.5,10,0.0434413716820103,0.127253992504502
1500,0.01,8,0.5,10,0.035886724274874,0.127247425922672
800,0.001,5,0.75,10,5.42103013706547,5.40049429042284
